,Pris,address,zipcode,m2,rooms
0, 1.795.000, Kvintus Allé 3,2300 København S,38,1
1, 2.595.000, Skelhøjvej 9,2800 Kongens Lyngby,67,3
2, 3.595.000, Herninggade 5,2100 København Ø,64,0
3, 3.698.000, Vestre Ringgade 226,8000 Aarhus C,100,3
4, 3.995.000, Digevej 38,2300 København S,87,3
5, 5.995.000, Falkoner Alle 126,2000 Frederiksberg,97,4
6, 7.495.000, Grundtvigsvej 1,1864 Frederiksberg C,114,4
7, 8.395.000, Bag Elefanterne 31,1799 København V,137,6
8, 15.500.000, Dunkerquegade 21,2150 Nordhavn,152,4
9, 17.500.000, Frederiksberg Alle 19A,1820 Frederiksberg C,202,6
10, 665.000, Årestrupsvej 4 st mf ,9000 Aalborg,43,1
11, 745.000, Bogensevej 21 1 246 ,4700 Næstved,48,2
12, 1.075.000, Enemærket 1,5700 Svendborg,67,2
13, 1.595.000, Provstejorden 16 st tv ,9000 Aalborg,73,3
14, 1.845.000, Kongelundsvej 71C 1 1 ,2300 København S,46,1
15, 1.895.000, Klokkeskovvej 15T 1 7 ,8260 Viby J,93,3
16, 2.595.000, Ålandsgade 22,2300 København S,55,2
17, 2.695.000, Fuglsang Allé 15 4 tv ,7400 Herning,111,3
18, 2.895.000, Birkedommervej 22,2400 København NV,75,2
19, 2.895.000, Rødovre Parkvej 183 3 th ,2610 Rødovre,76,3
20, 3.495.000, Odysseus Alle 24 ,2650 Hvidovre,84,0
21, 3.495.000, Grøndahlsvej 11 9 3 ,7400 Herning,111,3
22, 5.295.000, Edvard Thomsens Vej 11 3 tv ,2300 København S,115,4
23, 5.995.000, Vestmannagade 3 4 th ,2300 København S,89,4
24, 525.000, Gl. Hobrovej 8 1 tv ,8920 Randers NV,66,2
25, 749.900, Søgårdevejen 8A,7620 Lemvig,57,3
26, 895.000, Ydunsvej 51,7000 Fredericia,97,0
27, 975.000, Nordlandsvej 81,7100 Vejle,69,2
28, 995.000, Revlingbakken 13,9000 Aalborg,69,2
29, 1.000.000, Dagmar Petersens Gade 60,8000 Aarhus C,72,2
30, 1.000.000, Dagmar Petersens Gade 56,8000 Aarhus C,74,3
31, 1.195.000, Pilegårdsvej 58,2860 Søborg,42,1
32, 1.195.000, Sjællandsgade 87,9000 Aalborg,53,2
33, 1.198.000, Skejbygårdsvej 4,8240 Risskov,51,2
34, 1.295.000, Holmehusvej 73,5000 Odense C,58,2
35, 1.375.000, Sabroesvej 15B,3000 Helsingør,55,2
36, 1.395.000, Østergade 21A,4700 Næstved,67,2
37, 1.433.000, Østerbro 59,9000 Aalborg,67,2
38, 1.498.000, Algade 45E ,4230 Skælskør,173,6
39, 1.595.000, Nordre Ringvej 10,2600 Glostrup,57,2
40, 1.595.000, Laurids Skaus Gade 20B ,6100 Haderslev,120,3
41, 1.625.000, Præstøvej 168C ,4700 Næstved,73,3
42, 1.649.000, Nordre Ringvej 12,2600 Glostrup,57,2
43, 1.650.000, Stigsborg Brygge 157 st mf ,9400 Nørresundby,53,1
44, 1.695.000, Vesterkøb 47,2640 Hedehusene,60,2
45, 1.798.000, Engdalsvej 73,8220 Brabrand,86,3
46, 1.850.000, Snerlevej 13,9000 Aalborg,79,3
47, 1.895.000, Thorsgade 15,5000 Odense C,66,3
48, 1.945.000, Buchwalds Bro 4,8700 Horsens,86,3
49, 1.975.000, Rugmarken 63,3060 Espergærde,87,3
50, 2.195.000, Søndermarken 64,3060 Espergærde,89,4
51, 2.195.000, Vejlebrovej 79,2635 Ishøj,71,2
52, 2.195.000, Enggårdsgade 38A,9000 Aalborg,105,4
53, 2.200.000, Pileborggade 26,4100 Ringsted,125,5
54, 2.245.000, Strandvejen 5A,6000 Kolding,103,2
55, 2.250.000, Holger Danskes Vej 87,2000 Frederiksberg,33,1
56, 2.295.000, Højagerparken 27,2750 Ballerup,74,3
57, 2.295.000, Alsgade 17A,6400 Sønderborg,196,4
58, 2.395.000, Ahornvej 3B,2970 Hørsholm,69,3
59, 2.498.000, Norgesgade 49,6700 Esbjerg,104,3
60, 2.545.000, Østre Havnegade 36B 6 tv ,9000 Aalborg,72,2
61, 2.598.000, Dronningensgade 42,1420 København K,47,1
62, 2.695.000, Stigsborg Brygge 145 3 tv ,9400 Nørresundby,89,2
63, 2.695.000, Hunderupvej 124B,5230 Odense M,146,1
64, 2.698.000, Marselis Boulevard 71,8000 Aarhus C,65,3
65, 2.795.000, Marbækvej 8,2750 Ballerup,77,2
66, 2.795.000, Gasværksvej 6,2970 Hørsholm,82,3
67, 2.890.000, Hamletsgade 4,2200 København N,60,2
68, 2.895.000, Nytorv 13B 1 tv ,9000 Aalborg,93,3
69, 2.995.000, Cikoriegade 15,2640 Hedehusene,88,3
70, 3.250.000, Sankt Kjelds Gade 27,2100 København Ø,58,2
71, 3.350.000, Pileborggade 26,4100 Ringsted,170,7
72, 3.495.000, Hørkær 21B,2730 Herlev,90,4
73, 3.495.000, Rigensgade 6,1316 København K,48,2
74, 3.495.000, Magstræde 4,1204 København K,52,1
75, 3.595.000, Søllerød Park 15,2840 Holte,79,2
76, 4.745.000, Jagtvej 187,2100 København Ø,85,3
77, 4.750.000, Gambøtvej Hus 4,5700 Svendborg,88,2
78, 4.750.000, Gambøtvej Hus 6,5700 Svendborg,89,2
79, 4.895.000, Selmersvej 1B,2970 Hørsholm,90,2
80, 4.995.000, Frederiksberg Alle 41,1820 Frederiksberg C,61,2
81, 4.999.000, Gormsgade 11,2200 København N,94,4
82, 5.195.000, Pennehave 7 2 ,2960 Rungsted Kyst,127,4
83, 5.475.000, Helga Pedersens Gade 950T,8000 Aarhus C,105,3
84, 5.995.000, Gothersgade 155,1123 København K,118,4
85, 6.850.000, Gambøtvej Hus 7,5700 Svendborg,123,3
86, 6.895.000, Weidekampsgade 41,2300 København S,108,4
87, 7.195.000, Sortedam Dossering 19,2200 København N,111,3
88, 7.250.000, Løngangstræde 21A 3 th ,1468 København K,121,4
89, 9.900.000, Strandvejen 417C,2930 Klampenborg,108,4
90, 265.000, Nørmarkvej 29 1 12 ,7600 Struer,57,2
91, 495.000, Nyvangsvej 18,8900 Randers C,50,2
92, 525.000, Dalgas Alle 109,7800 Skive,47,1
93, 749.000, Willemoesgade 7,9000 Aalborg,44,1
94, 795.000, Kirstinelundsparken 7 ,4930 Maribo,60,2
95, 950.000, Ægirsvej 17,8920 Randers NV,92,4
96, 955.000, Østergade 40,8700 Horsens,52,2
97, 998.000, Kastetvej 15B,9000 Aalborg,48,2
98, 998.000, Strubjerg 22,9400 Nørresundby,80,3
99, 999.000, Willemoesgade 7,9000 Aalborg,65,2
100, 1.195.000, Brunevang 92,2610 Rødovre,45,1
101, 1.250.000, Bragesvej 25,3000 Helsingør,40,2
102, 1.295.000, Strubjerg 29,9400 Nørresundby,84,3
103, 1.299.000, Strubjerg 11,9400 Nørresundby,98,4
104, 1.345.000, Jernbanegade 18,9000 Aalborg,53,2
105, 1.495.000, Nyvangsvej 10,5000 Odense C,60,2
106, 1.495.000, Hadsundvej 86H,9000 Aalborg,88,4
107, 1.498.000, Snerlevej 15,9000 Aalborg,110,4
108, 1.500.000, Banegårdsplads 5B ,8382 Hinnerup,81,2
109, 1.595.000, Willemoesgade 7 2 th ,9000 Aalborg,84,3
110, 1.648.000, Ålekistevej 53,2720 Vanløse,40,1
111, 1.699.000, Rebæk Søpark 3,2650 Hvidovre,61,2
112, 1.700.000, Havnegade 19B 3 ,3600 Frederikssund,119,0
113, 1.750.000, Kantorparken 8,8240 Risskov,68,3
114, 1.750.000, Kildebakkegårds Alle 84,2860 Søborg,44,2
115, 1.798.000, Blomsterlunden 63,8381 Tilst,59,3
116, 1.850.000, Hovedvejen 146,2600 Glostrup,68,2
117, 1.895.000, Jansvej 1,2300 København S,43,2
118, 2.150.000, Marselis Boulevard 134,8000 Aarhus C,52,2
119, 2.300.000, Pærevangen 7,2765 Smørum,56,2
120, 2.445.000, Østerbæksvej 18,5230 Odense M,81,2
121, 2.495.000, Taastrup Hovedgade 111A,2630 Taastrup,68,3
122, 2.500.000, Skaffervej 11 st th ,2400 København NV,56,2
123, 2.595.000, Elmelyparken 7B,2680 Solrød Strand,99,3
124, 2.695.000, A.Andersens Vej 1A ,8600 Silkeborg,180,5
125, 2.695.000, Dybbølsgade 11,1721 København V,61,2
126, 2.795.000, Englandsvej 14,2300 København S,58,3
127, 2.795.000, Ålandsgade 3,2300 København S,49,2
128, 2.850.000, Himmerlandsvej 31,2720 Vanløse,70,4
129, 2.895.000, Nordborggade 38,8000 Aarhus C,77,3
130, 2.995.000, Stengade 26C,3000 Helsingør,147,4
131, 2.995.000, Gl. Stationsvej 61 Dør/lejl. 111 ,8940 Randers SV,123,3
132, 3.150.000, Søllerød Park 4,2840 Holte,88,3
133, 3.195.000, Nordre Frihavnsgade 100A,2100 København Ø,57,2
134, 3.295.000, Østerdalsgade 5,2300 København S,74,3
135, 3.298.000, Sølystgade 53,8000 Aarhus C,74,3
136, 3.395.000, Ægirsgade 18,2200 København N,70,3
137, 3.395.000, Godsbanegade 7,1722 København V,55,2
138, 3.450.000, Åhusene 9,8000 Aarhus C,69,3
139, 3.450.000, Harald Jensens Plads 17,8000 Aarhus C,93,3
140, 3.495.000, Gl. Stationsvej 53 Dør/lejl. 106 ,8940 Randers SV,118,4
141, 3.495.000, Uffesgade 10,2200 København N,55,2
142, 3.850.000, Studsgaardsgade 14,2100 København Ø,66,3
143, 3.995.000, Christiansgade 29 3 th ,8000 Aarhus C,104,4
144, 3.995.000, Skt. Pauls Gade 12,8000 Aarhus C,75,3
145, 3.995.000, Gl. Stationsvej 65 Dør/lejl. 113 ,8940 Randers SV,145,3
146, 3.995.000, Bonkesvej 3A,2650 Hvidovre,107,4
147, 3.995.000, Gl. Stationsvej 57 Dør/lejl. 109 ,8940 Randers SV,124,4
148, 3.995.000, Gl. Stationsvej 55 Dør/lejl. 108 ,8940 Randers SV,118,3
149, 3.995.000, Gl. Stationsvej 59 Dør/lejl. 110 ,8940 Randers SV,118,4
150, 4.395.000, Gl. Stationsvej 37 Dør/lejl. 114 ,8940 Randers SV,133,3
151, 4.495.000, Edvard Thomsens Vej 69,2300 København S,108,3
152, 4.595.000, Borups Allé 219,2400 København NV,122,5
153, 4.600.000, Skovvejen 44E,8000 Aarhus C,87,4
154, 4.795.000, Kong Georgs Vej 53,2000 Frederiksberg,83,3
155, 4.895.000, Gl. Stationsvej 43 Dør/lejl. 104 ,8940 Randers SV,161,4
156, 4.895.000, Gl. Stationsvej 45 Dør/lejl. 103 ,8940 Randers SV,161,4
157, 4.995.000, Nordre Fasanvej 164,2000 Frederiksberg,92,4
158, 4.998.000, Helga Pedersens Gade 9,8000 Aarhus C,113,4
159, 5.995.000, Gernersgade 11,1319 København K,78,3
160, 6.495.000, Amager Boulevard 110,2300 København S,122,4
161, 6.595.000, Gyldenløvesgade 21,1600 København V,123,4
162, 6.995.000, Jagtvej 191,2100 København Ø,126,4
163, 7.498.000, Teglholmens Østkaj 32,2450 København SV,111,3
164, 7.795.000, Strandgade 14,1401 København K,104,3
165, 8.495.000, Vodroffsvej 26 st th ,1900 Frederiksberg C,122,4
166, 8.498.000, Willemoesgade 63,2100 København Ø,126,4
