new_index,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance
0, 265.000kr. , Nørmarkvej 29 1 12 ,7600 Struer,57,2,8.5958323,56.48271089,464.56,1594.73,1169.06,497.99,15116.95
1, 475.000kr. , Skelvangsvej 105,8920 Randers NV,67,2,10.01302461,56.48522697,490.1,3649.52,1510.22,1165.91,4289.22
2, 495.000kr. , Lyksborgvej 38,7500 Holstebro,43,2,8.61284016,56.37165312,259.2,1427.94,477.51,723.78,1964.17
3, 495.000kr. , Nyvangsvej 18,8900 Randers C,50,2,10.02736486,56.4666364,234.05,1197.57,358.13,404.26,2083.77
4, 525.000kr. , Dalgas Alle 109,7800 Skive,47,1,9.021491,56.54682621,892.49,2126.17,892.49,1217.77,3977.31
5, 595.000kr. , Lyngbyvej 239A,9480 Løkken,46,3,9.74688154,57.41270769,3513.54,17191.77,5792.11,5122.82,19086.03
6, 695.000kr. , Æbleparken 170,5270 Odense N,59,2,10.36899416,55.42685024,404.24,5047.22,1497.88,479.61,5985.07
7, 749.000kr. , Willemoesgade 7 ,9000 Aalborg,44,1,9.89967926,57.05506038,661.02,914.89,664.37,300.57,1257.92
8, 750.000kr. , Platanvej 36,8930 Randers NØ,81,2,10.04386857,56.48130565,172.74,4604.89,850.3,596.72,1869.29
9, 795.000kr. , Kirstinelundsparken 7 ,4930 Maribo,60,2,11.51132543,54.7759385,607.82,1409.96,306.71,317.66,1425.18
10, 895.000kr. , Søndermarken 26,3060 Espergærde,35,1,12.54251305,55.99407463,425.25,648.41,1006.23,377.4,7336.51
11, 895.000kr. , Nørrevold 11B,6800 Varde,60,2,8.47893135,55.623884,694.24,378.76,1047.2,302.67,18581.76
12, 950.000kr. , Ægirsvej 17,8920 Randers NV,92,4,10.01503438,56.47716908,697.84,2737.99,1196.78,561.67,3316.29
13, 955.000kr. , Østergade 40,8700 Horsens,52,2,9.85183156,55.86775272,150.36,2481.92,356.25,760.02,2266.99
14, 995.000kr. , Havnevej 24,4000 Roskilde,26,1,12.07686742,55.64687126,447.05,2233.84,896.23,878.14,2518.4
15, 995.000kr. , Lathyrusvej 4,8930 Randers NØ,80,3,10.02952359,56.47803822,451.53,2986.48,1011.02,765.16,2242.78
16, 995.000kr. , Udsigten 15,6000 Kolding,70,2,9.46203809,55.49909797,384.55,2137.63,955.73,191.57,1891.87
