,Pris,address,zipcode,m2,rooms,x,y,daycare_distance,train_distance,school_distance,supermarket_distance,hospital_distance,Region
0,1795000, Kvintus Allé 3,2300 København S,38,1,12.61961487,55.66081728,371.5,4240.07,643.8,226.93,847.41,Hovedstaden
1,2595000, Skelhøjvej 9,2800 Kongens Lyngby,67,3,12.48236668,55.76394418,456.1,2358.62,831.28,581.67,6374.42,Hovedstaden
2,3595000, Herninggade 5,2100 København Ø,64,0,12.58839045,55.70737784,288.63,2095.23,638.95,263.23,2556.49,Hovedstaden
3,3698000, Vestre Ringgade 226,8000 Aarhus C,100,3,10.1966998,56.16979753,471.54,2625.79,704.16,1028.13,4453.36,Midtjylland
4,3995000, Digevej 38,2300 København S,87,3,12.58716851,55.64765668,431.08,2318.79,679.94,1069.28,2960.85,Hovedstaden
5,5995000, Falkoner Alle 126,2000 Frederiksberg,97,4,12.54186905,55.68715881,82.78,2502.8,509.23,277.44,1785.93,Hovedstaden
6,7495000, Grundtvigsvej 1,1864 Frederiksberg C,114,4,12.54170368,55.6777502,339.85,2056.78,191.49,262.14,1987.05,Hovedstaden
7,8395000, Bag Elefanterne 31,1799 København V,137,6,12.53404463,55.66798424,113.92,1536.57,717.84,288.93,3064.82,Hovedstaden
8,15500000, Dunkerquegade 21,2150 Nordhavn,152,4,12.59623003,55.7092097,175.59,2420.38,1189.54,349.41,3147.68,Hovedstaden
9,17500000, Frederiksberg Alle 19A,1820 Frederiksberg C,202,6,12.54639125,55.67306069,504.68,1469.91,213.81,287.67,2881.98,Hovedstaden
10,665000, Årestrupsvej 4 st mf ,9000 Aalborg,43,1,9.96665833,57.04301416,110.12,3383.77,761.24,101.97,4003.74,Nordjylland
11,745000, Bogensevej 21 1 246 ,4700 Næstved,48,2,11.76221515,55.21063909,571.46,3403.05,991.52,801.37,4008.76,Hovedstaden
12,1075000, Enemærket 1,5700 Svendborg,67,2,10.59691857,55.06290539,369.31,1263.76,568.29,439.86,1701.91,Syddanmark
13,1595000, Provstejorden 16 st tv ,9000 Aalborg,73,3,9.90924096,57.02924523,262.69,2215.24,1381.26,678.78,1236.42,Nordjylland
14,1845000, Kongelundsvej 71C 1 1 ,2300 København S,46,1,12.59015945,55.63714113,279.35,1928.92,1396.36,173.08,3778.73,Hovedstaden
15,1895000, Klokkeskovvej 15T 1 7 ,8260 Viby J,93,3,10.11537485,56.13241069,167.44,4043.74,427.71,513.42,12502.99,Midtjylland
16,2595000, Ålandsgade 22,2300 København S,55,2,12.60665487,55.66237712,234.02,3366.97,406.0,228.87,1514.01,Hovedstaden
17,2695000, Fuglsang Allé 15 4 tv ,7400 Herning,111,3,8.94628413,56.15500733,1646.19,4815.69,1265.76,1336.46,3343.66,Midtjylland
18,2895000, Birkedommervej 22,2400 København NV,75,2,12.52949215,55.70886075,140.97,4074.98,391.16,233.23,1077.42,Hovedstaden
19,2895000, Rødovre Parkvej 183 3 th ,2610 Rødovre,76,3,12.45242912,55.68031845,324.07,4930.88,625.88,334.3,5061.13,Hovedstaden
20,3495000, Odysseus Alle 24 ,2650 Hvidovre,84,0,12.47661623,55.63349395,622.61,4547.93,750.27,653.87,2860.39,Hovedstaden
21,3495000, Grøndahlsvej 11 9 3 ,7400 Herning,111,3,8.97409698,56.12802559,948.08,1690.76,2033.39,297.31,2071.9,Midtjylland
22,5295000, Edvard Thomsens Vej 11 3 tv ,2300 København S,115,4,12.57338719,55.63282044,205.79,843.02,633.51,232.58,5694.87,Hovedstaden
23,5995000, Vestmannagade 3 4 th ,2300 København S,89,4,12.57973045,55.66849278,286.54,1634.67,801.71,298.16,3980.9,Hovedstaden
24,525000, Gl. Hobrovej 8 1 tv ,8920 Randers NV,66,2,10.01992534,56.46884511,238.84,1288.3,392.45,259.86,2234.5,Midtjylland
25,749900, Søgårdevejen 8A,7620 Lemvig,57,3,8.28936061,56.56423547,3205.39,2580.2,3261.49,2433.34,2913.39,Nordjylland
26,895000, Ydunsvej 51,7000 Fredericia,97,0,9.76337359,55.57732243,315.71,2268.4,120.93,343.43,12777.48,Syddanmark
27,975000, Nordlandsvej 81,7100 Vejle,69,2,9.51699803,55.72417896,1110.84,2408.65,995.47,429.95,2477.93,Midtjylland
28,995000, Revlingbakken 13,9000 Aalborg,69,2,9.9009961,57.02545989,191.14,2901.18,1367.59,318.77,2244.03,Nordjylland
29,1000000, Dagmar Petersens Gade 60,8000 Aarhus C,72,2,10.22274232,56.16488038,763.08,2432.23,1116.43,608.18,5829.25,Midtjylland
30,1000000, Dagmar Petersens Gade 56,8000 Aarhus C,74,3,10.2225131,56.16476188,743.35,2451.11,1096.6,588.45,5809.42,Midtjylland
31,1195000, Pilegårdsvej 58,2860 Søborg,42,1,12.46330618,55.71912858,221.3,9077.03,1050.91,702.98,3426.37,Hovedstaden
32,1195000, Sjællandsgade 87,9000 Aalborg,53,2,9.94483049,57.044248,639.94,1852.87,931.92,507.86,2655.23,Nordjylland
